Collection,Model,Number,Date,Origin
70 Years Special Edition,1962 Mercedes-Benz 220 SE,02/05,2022,Walmart
70 Years Special Edition,2018 Bugatti Divo,04/05,2019,Flea Market
70 Years Special Edition,Freightliner M2 106,05/05,,Flea Market
70 Years Special Edition,2022 Ford F-150 Lightning,20/100,,Dollar Tree
70 Years Special Edition,Ford Police Interceptor,23/100,,Family Dollar
70 Years Special Edition,1966 Dodge Charger,12/100,,Walmart
Bentley,Bentley Bentayga,82/100,,Dollar Tree
Chevrolet,1934 Chevy Master Coupe,71/100,,Dollar General
Cool Concepts,Plymouth Prowler,18/75,1997,Flea Market
Dodge,Dodge Sweptside Pickup,14/100,,Dollar Tree
FedEx,Express Delivery,56/100,,Dollar Tree
Ford,1970 Ford Ranchero,17/100,,Dollar Tree
International ,09 International eStar,76/102,,Dollar Tree
Jeep ,Jeep Wrangler Superlift,99/100,,Dollar Tree
Jeep ,Jeep Wrangler Superlift,42/100,,Dollar Tree
Koenigsegg,2021 Koenigsegg Gemera,45/100,,Family Dollar
Matchbox Muscle,2019 Ford Mustang Coupe,01/06,,Walmart
Mazda,Mazda CX-5,63/100,,Dollar General
MBX Explorers,Rock Shocker,53/120,,Flea Market
MBX Heroic Rescue,Toyota Tacoma,75/125,,Grandpa
McLaren,McLaren 720 Spider,,,Family Dollar
Mercedes Benz,2015 G 500,,,Flea Market
Rivian ,Rivian R1T,38/100,,Family Dollar
Tesla,Tesla Model X,53/100,,Dollar Tree
Toyota,2016 Toyota Tacoma,100/100,,Dollar Tree
Toyota,2018 Toyota Hilux,40/100,,Dollar Tree
Toyota,Toyota 4Runner,,,Family Dollar
,MBX Backhoe,29/100,,Dollar General
,Push ‘N Puller,47/100,,Dollar Tree
,Road Roller,52/100,,Dollar Tree
,‘95 Nissan Hardbody (D21),72/100,,Dollar Tree
,2020 Corvette,31/100,,Dollar Tree
,Polaris Ranger,75/100,,Target
,Garbage King,61/100,,Target
,1949 Kurtis Sport Car,46/100,,Target
,20 Jeep Gladiator,41/100,,Family Dollar
,2019 Subaru Forester,88/100,,Family Dollar
,2022 Renault Twizy,82/100,,Family Dollar
,Toyota 4Runner,92/100,,Family Dollar
,Subaru Sambar,43/100,,Big Lots
MBX Off-Road,NASA S.E.V. / Chariot,18/25,,Flea Market
International ,International Terrastar,71/100,,
Ford,2023 Ford Police Interceptor Utility,9/25,2024,
